"Reference","Value","Datasheet","Footprint","Qty","Manufacturer_Name","Manufacturer_Part_Number"
"U8","WT901","https://images-na.ssl-images-amazon.com/images/I/B11fVGszLsS.pdf","capstone_footprint:WT901","1","Wit Motion","WT901"
"U3","TPS6282533DMQR","https://www.ti.com/lit/ds/symlink/tps62825.pdf","capstone_footprint:DMQ0006A","1","Texas Instruments","TPS6282533DMQR"
"U2","RCLAMP0582N.TCT","https://semtech.my.salesforce.com/sfc/p/#E0000000JelG/a/44000000MCkM/47lrtsgaZMlndkLoyOFZr1IIfavHzLNbjhyG7SEYQE8","capstone_footprint:SLP1210N6_SEM-L","1","Semtech","RClamp0582N"
"U6","RT9166-18GVL","https://www.digikey.jp/htmldatasheets/production/806499/0/0/1/rt9166-a-.html","capstone_footprint:SOT-89_RIT-L","1","Richtek","RT9166-18GVL"
"U5","RT9166A-28PXL","https://www.digikey.jp/htmldatasheets/production/806499/0/0/1/rt9166-a-.html","capstone_footprint:SOT-89_RIT-L","1","Richtek","RT9166A-28PXL"
"U4","RT9166A-12PXL","https://www.digikey.jp/htmldatasheets/production/806499/0/0/1/rt9166-a-.html","capstone_footprint:SOT-89_RIT-L","1","Richtek","RT9166A-12PXL"
"U9","DWM1000","https://www.qorvo.com/products/d/da007948","DWM1000","1","Qorvo","DWM1000"
"U1","ESP32-S3-WROOM-2","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-2_datasheet_en.pdf","capstone_footprint:ESP32-S3-WROOM-2","1","Espressif","ESP32-S3-WROOM-2-N32R16V"
"S1","B3F-1000","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3f.pdf","capstone_footprint:SW_B3F-1000_OMR","1","Omron","B3F-1000"
"R8,R9","4k7","https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","capstone_footprint:RC0402N_YAG-L","2","Yageo","RC0402FR-074K7L"
"R4","100k","https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","capstone_footprint:RC0402N_YAG-L","1","Yageo","RC0402FR-07100KL"
"R1,R2,R3,R10,R11","10k","-- mixed values --","-- mixed values --","5","Various","Various"
"L1","470n","https://www.coilcraft.com/getmedia/84927b8b-f089-421b-a7f4-a0fa23afe908/xfl4015.pdf","capstone_footprint:IND_XFL4015_COC-L","1","Coilcraft","XFL4015-471MEB"
"J6","Conn_01x05","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6129/sqt-1xx-xx-xxx-x-xxx-xxx-mkt.pdf","capstone_footprint:SAMTEC_SQT-105-01-X-S-RA","1","Samtec","SQT-105-01-X-S-RA"
"J5,J7","Conn_01x02","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6129/ssq-1xx-xx-xxx-x-xx-xxx-xx-x-mkt.pdf","capstone_footprint:CON2_1X2_TR_SSQ_SAI","2","Samtec","SSQ-102-01-T-S"
"J4","2-1734592-4","https://www.te.com/usa-en/product-2-1734592-4.datasheet.pdf","capstone_footprint:CONN_2-1734592-4_TYCO","1","TE Connectivity","2-1734592-4"
"J2,J3","Conn_01x04","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6129/ssw-1xx-xx-xxx-x-xx-xxx-xx-mkt.pdf","capstone_footprint:CON4_1X4_TR_SSQ_SAI","2","Samtec","SSW-104-02-T-S"
"J1","2049261103","https://tools.molex.com/pdm_docs/pk/2049263333-000.pdf","capstone_footprint:2049261103_MOL","1","Molex","2049261103"
"C14,C15,C16,C17,C18,C20","1u","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R70G105KA12-01A.pdf","capstone_footprint:G-155_MUR-L","6","Murata","GRM155R70G105KA12D"
"C10","15p","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM0335C1E150JA01-01.pdf","capstone_footprint:CAPC0603X33N","1","Murata","GRM0335C1E150JA01D"
"C7","100n","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM033C80G104KE19-01.pdf","capstone_footprint:G-033_MUR-L","1","Murata","GRM033C80G104KE19D"
"C6","10u","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM033C80G104KE19-01.pdf","capstone_footprint:G-033_MUR-L","1","Murata","GRM033C80G104KE19D"
"C5","47u","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM31CR61A476ME15-01.pdf","capstone_footprint:G-31_MUR-L","1","Murata","GRM31CR61A476ME15D"
"C4","22u","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R60G226MEA0-01.pdf","capstone_footprint:G-188_MUR-L","1","Murata","GRM188R60G226MEA0D"
"C3","22u","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R60G226MEA0-01.pdf","capstone_footprint:G-188_MUR-L","1","Murata","GRM188R60G226MEA0D"
"C2,C11","100n","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM033C80G104KE19-01.pdf","capstone_footprint:G-033_MUR-L","2","Murata","GRM033C80G104KE19D"
"C1","1u","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R70G105KA12-01A.pdf","capstone_footprint:G-155_MUR-L","1","Murata","GRM155R70G105KA12D"
